,Year,Month,Departure station,Arrival station,Average travel time (min),Number of expected circulations,Number of cancelled trains,Number of late trains at departure,Average delay of late departing trains (min),Average delay of all departing trains (min),Number of trains late on arrival,Average delay of late arriving trains (min),Average delay of all arriving trains (min),"% trains late due to external causes (weather, obstacles, suspicious packages, malevolence, social movements, etc.)","% trains late due to railway infrastructure (maintenance, works)","% trains late due to traffic management (rail line traffic, network interactions)",% trains late due to rolling stock,% trains late due to station management and reuse of material,"% trains late due to passenger traffic (affluence, PSH management, connections)",Number of late trains > 15min,Average train delay > 15min,Number of late trains > 30min,Number of late trains > 60min,Period,Delay due to external causes,Delay due to railway infrastructure,Delay due to traffic management,Delay due to rolling stock,Delay due to station management and reuse of material,Delay due to travellers taken into account
3597,2017,9,PERPIGNAN,PARIS LYON,303.152046784,171.0,0.0,27.0,11.5641975309,2.2649122807,29.0,30.8373563218,6.42621832359,0.333333333333,0.407407407407,0.148148148148,0.037037037037,0.037037037037,0.037037037037,29.0,30.8373563218,8.0,2.0,2017-09-01,33.333333333300004,40.740740740700005,14.8148148148,3.7037037037,3.7037037037,3.7037037037
3598,2017,9,VALENCE ALIXAN TGV,PARIS LYON,133.519855596,280.0,3.0,74.0,17.6630630631,5.540553549939999,60.0,27.3375,6.111552346569999,0.1886792452829999,0.3773584905659999,0.339622641509,0.0754716981132,0.0,0.0188679245283,43.0,33.2662790698,13.0,5.0,2017-09-01,18.8679245283,37.7358490566,33.962264150900005,7.54716981132,0.0,1.88679245283
3601,2017,9,ZURICH,PARIS LYON,238.447011494,145.0,0.0,7.0,10.3428571429,1.5991954023,6.0,27.1388888889,2.46885057471,0.166666666667,0.333333333333,0.0,0.5,0.0,0.0,6.0,27.1388888889,1.0,0.0,2017-09-01,16.6666666667,33.333333333300004,0.0,50.0,0.0,0.0
3604,2015,2,PARIS LYON,LYON PART DIEU,120.455497382,574.0,1.0,10.0,16.9,0.438045375218,24.0,30.0833333333,1.13438045375,0.2083333333329999,0.375,0.0416666666667,0.2083333333329999,0.0416666666667,0.125,16.0,38.5625,7.0,2.0,2015-02-01,20.8333333333,37.5,4.16666666667,20.8333333333,4.16666666667,12.5
3606,2015,2,TOULOUSE MATABIAU,PARIS MONTPARNASSE,340.0,155.0,0.0,5.0,20.6,0.7548387096770001,17.0,44.3529411765,4.6774193548400005,0.6000000000000001,0.2,0.0666666666666999,0.133333333333,0.0,0.0,17.0,44.3529412,7.0,3.0,2015-02-01,60.0,20.0,6.666666666669999,13.3333333333,0.0,0.0
3607,2015,2,PARIS MONTPARNASSE,TOURS,75.8879310345,174.0,0.0,8.0,11.875,0.683908045977,31.0,11.7096774194,2.8275862069,0.0769230769231,0.5769230769229999,0.115384615385,0.115384615385,0.0769230769231,0.0384615384615,7.0,19.2857143,0.0,0.0,2015-02-01,7.692307692310001,57.692307692300005,11.538461538499998,11.538461538499998,7.692307692310001,3.84615384615
3608,2015,2,PARIS MONTPARNASSE,VANNES,201.053797468,158.0,0.0,12.0,14.3333333333,1.19620253165,14.0,62.0,6.42405063291,0.333333333333,0.333333333333,0.0,0.111111111111,0.222222222222,0.0,14.0,62.0,9.0,5.0,2015-02-01,33.333333333300004,33.333333333300004,0.0,11.1111111111,22.2222222222,0.0
3610,2015,9,BESANCON FRANCHE COMTE TGV,PARIS LYON,130.921171171,222.0,0.0,9.0,33.0,1.71621621622,18.0,33.1111111111,2.6396396396400004,0.411764705882,0.235294117647,0.235294117647,0.117647058824,0.0,0.0,10.0,49.8,4.0,3.0,2015-09-01,41.1764705882,23.5294117647,23.5294117647,11.7647058824,0.0,0.0
3611,2015,9,PARIS MONTPARNASSE,QUIMPER,265.24,200.0,0.0,11.0,15.0909090909,1.01,23.0,35.8260869565,4.695,0.285714285714,0.380952380952,0.0952380952381,0.0952380952381,0.142857142857,0.0,23.0,35.826087,6.0,3.0,2015-09-01,28.5714285714,38.0952380952,9.523809523810002,9.523809523810002,14.2857142857,0.0
3612,2015,9,ITALIE,PARIS LYON,254.174418605,86.0,0.0,14.0,12.4285714286,2.8604651162800003,11.0,42.0,7.13953488372,0.5454545454549999,0.181818181818,0.181818181818,0.0,0.0909090909091,0.0,11.0,42.0,4.0,2.0,2015-09-01,54.545454545500014,18.1818181818,18.1818181818,0.0,9.09090909091,0.0
3613,2015,8,PARIS MONTPARNASSE,LA ROCHELLE VILLE,196.36,225.0,0.0,10.0,16.7,0.955555555556,14.0,45.2857142857,4.98666666667,0.5714285714289999,0.214285714286,0.142857142857,0.0714285714286,0.0,0.0,14.0,45.2857143,7.0,4.0,2015-08-01,57.142857142900006,21.4285714286,14.2857142857,7.1428571428600005,0.0,0.0
